iter	Passed	Remaining
321	46389	112227
322	46540	112101
323	46696	111986
324	46854	111873
325	47007	111750
326	47155	111614
327	47291	111451
328	47426	111285
329	47561	111121
330	47697	110958
331	47828	110783
332	47957	110605
333	48093	110443
334	48225	110270
335	48375	110140
336	48516	109990
337	48661	109848
338	48797	109685
339	48944	109549
340	49091	109412
341	49228	109252
342	49362	109087
343	49497	108923
344	49637	108771
345	49773	108610
346	49928	108490
347	50070	108341
348	50216	108202
349	50361	108062
350	50494	107895
351	50643	107760
352	50814	107675
353	50972	107561
354	51129	107443
355	51291	107337
356	51440	107204
357	51586	107063
358	51730	106918
359	51882	106792
360	52037	106669
361	52182	106526
362	52339	106408
363	52486	106270
364	52635	106137
365	52806	106046
366	52978	105957
367	53128	105824
368	53281	105695
369	53436	105573
370	53574	105415
371	53709	105253
372	53868	105137
373	54020	105008
374	54167	104867
375	54319	104738
376	54474	104614
377	54617	104467
378	54762	104322
379	54910	104185
380	55056	104044
381	55199	103895
382	55338	103740
383	55482	103596
384	55623	103445
385	55785	103333
386	55930	103188
387	56088	103069
388	56239	102937
389	56398	102819
390	56563	102711
391	56709	102569
392	56861	102436
393	57000	102283
394	57140	102129
395	57289	101993
396	57447	101872
397	57600	101742
398	57750	101605
399	57899	101468
400	58042	101320
401	58240	101268
402	58380	101116
403	58521	100964
404	58667	100821
405	58800	100656
406	58947	100515
407	59096	100377
408	59243	100236
409	59392	100098
410	59527	99936
411	59671	99791
412	59817	99646
413	59982	99536
414	60126	99390
415	60265	99234
416	60421	99107
417	60567	98965
418	60706	98810
419	60855	98673
420	60994	98518
421	61136	98368
422	61273	98211
423	61408	98050
424	61552	97905
425	61704	97772
426	61858	97641
427	62013	97512
428	62161	97372
429	62315	97240
430	62461	97098
431	62614	96965
432	62777	96849
433	62936	96724
434	63099	96607
435	63258	96484
436	63431	96380
437	63601	96273
438	63753	96138
439	63916	96019
440	64063	95876
441	64199	95718
442	64343	95570
443	64476	95407
444	64609	95243
445	64740	95078
446	64874	94917
447	65003	94747
448	65139	94589
449	65303	94472
450	65438	94313
451	65574	94153
452	65727	94020
453	65880	93886
454	66053	93782
455	66204	93643
456	66351	93502
457	66526	93397
458	66671	93252
459	66807	93094
460	66967	92970
461	67122	92838
462	67279	92708
463	67432	92573
464	67583	92436
465	67739	92306
466	67887	92164
467	68060	92056
468	68225	91936
469	68395	91824
470	68561	91706
471	68718	91576
472	68882	91454
473	69054	91344
474	69242	91253
475	69407	91133
476	69562	91000
477	69710	90856
478	69885	90749
479	70043	90618
480	70200	90487
481	70365	90365
482	70526	90238
483	70678	90100
484	70830	89961
485	70987	89829
486	71143	89696
487	71300	89564
488	71440	89410
489	71594	89274
490	71742	89130
491	71908	89008
492	72058	88866
493	72216	88735
494	72371	88600
495	72528	88466
496	72696	88346
497	72859	88220
498	73031	88105
499	73207	87995
500	73355	87850
501	73496	87697
502	73635	87543
503	73772	87384
504	73915	87235
505	74056	87082
506	74201	86934
507	74345	86785
508	74488	86635
509	74627	86480
510	74769	86328
511	74904	86169
512	75087	86065
513	75284	85976
514	75434	85834
515	75587	85695
516	75745	85561
517	75883	85405
518	76020	85247
519	76176	85112
520	76338	84983
521	76504	84858
522	76650	84711
523	76801	84569
524	76974	84452
525	77133	84319
526	77289	84182
527	77445	84045
528	77597	83905
529	77751	83766
530	77905	83627
531	78077	83507
532	78230	83367
533	78375	83219
534	78523	83073
535	78673	82930
536	78843	82807
537	78998	82669
538	79152	82529
539	79331	82416
540	79485	82276
541	79665	82163
542	79828	82033
543	79972	81883
544	80110	81727
545	80252	81575
546	80401	81430
547	80559	81294
548	80709	81150
549	80854	81001
550	80993	80846
551	81133	80692
552	81273	80538
553	81423	80395
554	81575	80252
555	81729	80112
556	81884	79973
557	82038	79833
558	82185	79685
559	82344	79550
560	82486	79398
561	82641	79259
562	82782	79106
563	82927	78957
564	83074	78810
565	83218	78660
566	83390	78537
567	83531	78384
568	83677	78236
569	83843	78106
570	83984	77953
571	84124	77800
572	84273	77655
573	84423	77510
574	84579	77371
575	84743	77240
576	84914	77114
577	85063	76969
578	85213	76824
579	85410	76722
580	85588	76602
581	85766	76482
582	85930	76349
583	86069	76195
584	86197	76030
585	86334	75873
586	86470	75716
587	86611	75564
588	86747	75406
589	86888	75254
590	87029	75101
591	87168	74947
592	87308	74794
593	87455	74646
594	87603	74499
595	87737	74341
596	87879	74189
597	88020	74037
598	88158	73882
599	88300	73730
600	88452	73587
601	88597	73438
602	88745	73292
603	88890	73143
604	89038	72997
605	89191	72854
606	89331	72701
607	89482	72557
608	89619	72401
609	89779	72265
610	89927	72118
611	90059	71959
612	90193	71801
613	90331	71646
614	90463	71488
615	90605	71337
616	90741	71181
617	90888	71034
618	91022	70876
619	91156	70719
620	91296	70567
621	91431	70410
622	91572	70259
623	91718	70111
624	91860	69960
625	92011	69816
626	92149	69663
627	92284	69507
628	92415	69348
629	92567	69205
630	92706	69052
631	92840	68895
632	92970	68736
633	93099	68576
634	93235	68421
635	93365	68262
636	93497	68104
637	93660	67970
638	93791	67811
639	93933	67661
640	94071	67508
641	94207	67354
642	94336	67194
643	94482	67047
644	94620	66894
645	94759	66742
646	94896	66589
647	95033	66435
648	95168	66280
649	95296	66121
650	95427	65963
651	95567	65812
652	95699	65655
653	95828	65497
654	95959	65340
655	96091	65183
656	96259	65052
657	96402	64903
658	96564	64767
659	96699	64613
660	96882	64490
661	97054	64360
662	97222	64228
663	97377	64087
664	97529	63944
665	97690	63806
666	97882	63689
667	98041	63550
668	98195	63408
669	98357	63272
670	98496	63119
671	98645	62974
672	98781	62821
673	98937	62680
674	99096	62541
675	99232	62387
676	99368	62233
677	99517	62088
678	99668	61944
679	99813	61796
680	99958	61648
681	100105	61501
682	100282	61373
683	100419	61220
684	100563	61072
685	100750	60949
686	100958	60839
687	101109	60695
688	101244	60540
689	101376	60385
690	101504	60227
691	101648	60078
692	101786	59926
693	101917	59770
694	102046	59612
695	102189	59463
696	102320	59307
697	102451	59151
698	102577	58993
699	102712	58839
700	102865	58696
701	103000	58542
702	103132	58387
703	103268	58235
704	103401	58080
705	103533	57926
706	103667	57772
707	103807	57622
708	103940	57467
709	104073	57313
710	104207	57160
711	104340	57006
712	104474	56852
713	104608	56699
714	104739	56544
715	104875	56392
716	105015	56242
717	105168	56099
718	105324	55958
719	105457	55804
720	105586	55648
721	105752	55512
722	105893	55363
723	106044	55219
724	106181	55067
725	106377	54946
726	106547	54812
727	106730	54684
728	106877	54538
729	107013	54386
730	107148	54234
731	107290	54085
732	107423	53931
733	107553	53776
734	107684	53622
735	107817	53469
736	107971	53326
737	108100	53171
738	108246	53024
739	108391	52877
740	108533	52728
741	108660	52572
742	108795	52420
743	108923	52265
744	109057	52113
745	109206	51968
746	109369	51829
747	109513	51682
748	109710	51559
749	109846	51408
750	109968	51250
751	110100	51097
752	110229	50942
753	110362	50790
754	110490	50635
755	110622	50482
756	110755	50330
757	110887	50177
758	111034	50031
759	111183	49886
760	111312	49732
761	111471	49591
762	111611	49442
763	111759	49297
764	111895	49146
765	112030	48995
766	112162	48842
767	112300	48692
768	112432	48540
769	112575	48392
770	112717	48245
771	112861	48097
772	112995	47946
773	113128	47794
774	113263	47643
775	113399	47493
776	113529	47340
777	113664	47189
778	113803	47040
779	113932	46887
780	114074	46739
781	114205	46587
782	114359	46444
783	114499	46296
784	114632	46145
785	114770	45995
786	114910	45847
787	115047	45697
788	115187	45549
789	115324	45399
790	115460	45249
791	115591	45098
792	115733	44950
793	115872	44802
794	116024	44658
795	116158	44507
796	116294	44358
797	116424	44206
798	116565	44058
799	116699	43908
800	116833	43757
801	116966	43607
802	117107	43459
803	117232	43306
804	117374	43158
805	117507	43008
806	117641	42858
807	117776	42708
808	117909	42558
809	118042	42407
810	118172	42256
811	118316	42110
812	118444	41958
813	118568	41804
814	118734	41666
815	118866	41515
816	118999	41365
817	119131	41215
818	119278	41070
819	119422	40924
820	119551	40772
821	119682	40622
822	119818	40473
823	119952	40323
824	120079	40172
825	120243	40032
826	120379	39883
827	120508	39732
828	120639	39582
829	120779	39435
830	120910	39284
831	121041	39134
832	121177	38986
833	121309	38836
834	121445	38687
835	121575	38537
836	121709	38388
837	121844	38239
838	121980	38091
839	122112	37942
840	122247	37793
841	122374	37642
842	122509	37493
843	122650	37347
844	122782	37198
845	122912	37048
846	123048	36900
847	123177	36749
848	123311	36601
849	123440	36451
850	123576	36303
851	123709	36154
852	123841	36005
853	123974	35856
854	124100	35706
855	124236	35558
856	124367	35409
857	124495	35259
858	124624	35109
859	124757	34961
860	124897	34814
861	125029	34666
862	125161	34517
863	125296	34369
864	125428	34221
865	125556	34071
866	125687	33922
867	125818	33773
868	125950	33625
869	126082	33477
870	126210	33327
871	126341	33179
872	126473	33030
873	126648	32893
874	126837	32760
875	126976	32613
876	127121	32468
877	127267	32324
878	127406	32177
879	127548	32032
880	127681	31884
881	127816	31736
882	127952	31589
883	128082	31441
884	128217	31293
885	128353	31146
886	128485	30998
887	128625	30852
888	128757	30704
889	128889	30556
890	129029	30410
891	129161	30263
892	129299	30116
893	129430	29968
894	129565	29821
895	129699	29674
896	129834	29527
897	129969	29380
898	130107	29234
899	130245	29088
900	130390	28943
901	130527	28797
902	130661	28650
903	130804	28504
904	130945	28359
905	131073	28211
906	131204	28063
907	131339	27916
908	131476	27770
909	131611	27623
910	131746	27477
911	131883	27331
912	132029	27186
913	132166	27040
914	132296	26893
915	132432	26746
916	132562	26599
917	132693	26452
918	132823	26304
919	132958	26158
920	133097	26012
921	133245	25868
922	133389	25724
923	133538	25580
924	133673	25434
925	133804	25287
926	133932	25139
927	134063	24992
928	134198	24846
929	134323	24698
930	134453	24551
931	134582	24403
932	134721	24258
933	134851	24111
934	134982	23964
935	135182	23830
936	135319	23684
937	135463	23540
938	135597	23393
939	135729	23247
940	135856	23099
941	135988	22953
942	136121	22807
943	136250	22660
944	136377	22513
945	136515	22367
946	136645	22221
947	136781	22075
948	136908	21928
949	137044	21782
950	137172	21636
951	137303	21489
952	137432	21343
953	137567	21197
954	137697	21051
955	137828	20904
956	137957	20758
957	138089	20612
958	138257	20471
959	138383	20325
960	138517	20179
961	138651	20033
962	138777	19887
963	138911	19741
964	139043	19595
965	139175	19449
966	139312	19304
967	139452	19160
968	139585	19014
969	139718	18869
970	139847	18723
971	139978	18577
972	140116	18432
973	140244	18286
974	140374	18140
975	140506	17995
976	140635	17849
977	140767	17703
978	140899	17558
979	141031	17413
980	141164	17267
981	141298	17122
982	141433	16977
983	141590	16835
984	141722	16690
985	141855	16545
986	141988	16399
987	142119	16254
988	142254	16109
989	142379	15963
990	142514	15818
991	142644	15673
992	142770	15527
993	142899	15382
994	143026	15237
995	143159	15092
996	143301	14948
997	143435	14803
998	143561	14657
999	143690	14512
1000	143818	14367
1001	143949	14222
1002	144085	14078
1003	144210	13932
1004	144343	13788
1005	144476	13643
1006	144614	13499
1007	144746	13354
1008	144878	13209
1009	145006	13064
1010	145137	12920
1011	145268	12775
1012	145397	12630
1013	145530	12486
1014	145668	12342
1015	145804	12198
1016	145975	12056
1017	146150	11916
1018	146310	11773
1019	146434	11628
1020	146569	11484
1021	146705	11340
1022	146836	11195
1023	146969	11051
1024	147097	10906
1025	147231	10762
1026	147364	10618
1027	147499	10474
1028	147638	10330
1029	147764	10185
1030	147894	10041
1031	148021	9896
1032	148151	9752
1033	148278	9608
1034	148407	9463
1035	148543	9319
1036	148677	9175
1037	148808	9031
1038	148930	8887
1039	149060	8742
1040	149190	8598
1041	149324	8455
1042	149453	8310
1043	149585	8167
1044	149721	8023
1045	149848	7879
1046	149976	7735
1047	150106	7591
1048	150237	7447
1049	150369	7303
1050	150509	7160
1051	150655	7017
1052	150787	6873
1053	150919	6729
1054	151050	6586
1055	151184	6442
1056	151311	6298
1057	151443	6155
1058	151579	6011
1059	151747	5869
1060	151878	5725
1061	152005	5582
1062	152130	5438
1063	152257	5294
1064	152388	5151
1065	152525	5007
1066	152656	4864
1067	152795	4721
1068	152924	4577
1069	153053	4434
1070	153186	4290
1071	153317	4147
1072	153446	4004
1073	153578	3860
1074	153709	3717
1075	153838	3574
1076	153969	3431
1077	154107	3288
1078	154244	3144
1079	154372	3001
1080	154503	2858
1081	154658	2715
1082	154789	2572
1083	154916	2429
1084	155045	2286
1085	155173	2143
1086	155303	2000
1087	155448	1857
1088	155582	1714
1089	155714	1571
1090	155847	1428
1091	155977	1285
1092	156135	1142
1093	156262	999
1094	156395	856
1095	156544	714
1096	156677	571
1097	156806	428
1098	156932	285
1099	157062	142
1100	157189	0
