iter	RMSE
0	1.116427002
1	1.11374686
2	1.111837385
3	1.10904482
4	1.106605579
5	1.103800237
6	1.101354924
7	1.098720639
8	1.096586281
9	1.093898263
10	1.091613072
11	1.089986432
12	1.08800195
13	1.085990376
14	1.08381761
15	1.082192735
16	1.080171506
17	1.078151441
18	1.076631706
19	1.074794607
20	1.072942302
21	1.071617045
22	1.069931485
23	1.068384304
24	1.067447766
25	1.065847121
26	1.064632556
27	1.06324189
28	1.061524436
29	1.060160301
30	1.059020962
31	1.057726014
32	1.056402511
33	1.055357172
34	1.054333235
35	1.052898491
36	1.05179044
37	1.050775362
38	1.049680421
39	1.048660101
40	1.047915147
41	1.046839559
42	1.045611045
43	1.044183121
44	1.042953682
45	1.041918295
46	1.041069154
47	1.04019307
48	1.039276014
49	1.038502209
50	1.037493844
51	1.036571884
52	1.035699735
53	1.034784137
54	1.034037436
55	1.033218603
56	1.032360652
57	1.031717523
58	1.031153517
59	1.030307227
60	1.029318241
61	1.028578927
62	1.027912112
63	1.027315617
64	1.026586257
65	1.0257542
66	1.025059692
67	1.024441669
68	1.023603964
69	1.02279694
70	1.022216153
71	1.02130288
72	1.020797406
73	1.020278096
74	1.019563478
75	1.019066065
76	1.018380607
77	1.017734176
78	1.017272082
79	1.016854188
80	1.016115643
81	1.015513551
82	1.014957293
83	1.014377091
84	1.013701877
85	1.013166189
86	1.012640204
87	1.012019146
88	1.011441927
89	1.010689296
90	1.010233689
91	1.009555546
92	1.00910666
93	1.008599192
94	1.008055677
95	1.007532658
96	1.007091095
97	1.006640081
98	1.005945787
99	1.005438018
100	1.004903418
101	1.004572118
102	1.003918112
103	1.003328562
104	1.002808272
105	1.002298716
106	1.001688879
107	1.001187308
108	1.000635902
109	1.000264794
110	0.999866013
111	0.9993295018
112	0.9988938686
113	0.998380253
114	0.9980562744
115	0.9975330921
116	0.9971792141
117	0.9967741668
118	0.9961697435
119	0.9954407255
120	0.9950606126
121	0.9946660623
122	0.9941313754
123	0.9935821916
124	0.9931273708
125	0.9927005795
126	0.9919299677
127	0.9914702406
128	0.9909679059
129	0.9904915414
130	0.9898359151
131	0.9894929719
132	0.989081635
133	0.9886529555
134	0.9878842415
135	0.9873709734
136	0.986915429
137	0.9863707645
138	0.986066802
139	0.9855566418
140	0.9848943678
141	0.9844608758
142	0.9840359372
143	0.983787583
144	0.9834019488
145	0.9828512829
146	0.9823662314
147	0.9819161582
148	0.9815932402
149	0.9813574926
150	0.9808755001
151	0.9804314524
152	0.9800099029
153	0.9796038695
154	0.9792324444
155	0.9788770415
156	0.9784810625
157	0.9780652607
158	0.9774331535
159	0.9768752213
160	0.9766238089
161	0.9761209532
162	0.9757610887
163	0.9751103365
164	0.974696727
165	0.9741468314
166	0.9738114649
167	0.9733317499
168	0.9729734021
169	0.9726655063
170	0.9723129087
171	0.971964851
172	0.9715585811
173	0.9712478791
174	0.9710545391
175	0.970344541
176	0.9700648935
177	0.9697432852
178	0.969365667
179	0.968885717
180	0.9686426201
181	0.9682011628
182	0.9677522215
183	0.9672335246
184	0.9669154209
185	0.9664596572
186	0.9660700386
187	0.965664182
188	0.9651189706
189	0.9648282252
190	0.9644842041
191	0.9640628748
192	0.9636301937
193	0.9632790762
194	0.9629175206
195	0.9624476089
196	0.9619836385
197	0.9616194219
198	0.9611644938
199	0.9605733852
200	0.9602513235
201	0.9597912208
202	0.9591240219
203	0.9587828756
204	0.9582842808
205	0.9578650051
206	0.957387767
207	0.9569443486
208	0.9565638158
209	0.9562083136
210	0.95582393
211	0.9552491184
212	0.9549059264
213	0.9545990671
214	0.9540102741
215	0.9535194992
216	0.9531889482
217	0.9528721376
218	0.952358655
219	0.9518715811
220	0.9513479996
221	0.9509256281
222	0.9502964559
223	0.9499252452
224	0.9493987384
225	0.9490835797
226	0.9486025521
227	0.9480710661
228	0.9476799796
229	0.9472107335
230	0.9468212027
231	0.9463274973
232	0.9459632675
233	0.9455646771
234	0.9451895383
235	0.9448511427
236	0.9444926672
237	0.9440145734
238	0.9437657523
239	0.9433568538
240	0.9429305037
241	0.9426279086
242	0.9422036184
243	0.9417409859
244	0.9414088558
245	0.9409202639
246	0.9403771165
247	0.9398428834
248	0.9391404531
249	0.9387225287
250	0.9382386627
251	0.9378486542
252	0.9375440398
253	0.9370156502
254	0.936446501
255	0.9360962561
256	0.9355867669
257	0.9351676224
258	0.93465043
259	0.9341815447
260	0.9338004849
261	0.9334282044
262	0.9329140166
263	0.9324639301
264	0.9318935315
265	0.9315113425
266	0.930963317
267	0.9305667768
268	0.9302009128
269	0.9297054731
270	0.9294088147
271	0.9290442452
272	0.9284195608
273	0.9281730084
274	0.9274918268
275	0.926760606
276	0.9262932773
277	0.9258012576
278	0.9251406608
279	0.9246335795
280	0.9241083595
281	0.9237450789
282	0.9232378748
283	0.922609608
284	0.9220396367
285	0.9216645645
286	0.9210437556
287	0.9204618044
288	0.9199005542
289	0.9194894064
290	0.918983143
291	0.9184862677
292	0.9179455587
293	0.9172029075
294	0.9167201808
295	0.9162356786
296	0.9156417846
297	0.9152135866
298	0.9145985888
299	0.9139713
300	0.9135678596
301	0.9130328274
302	0.9125459435
303	0.9121132076
304	0.9114526327
305	0.9109981407
306	0.9105283578
307	0.9099289632
308	0.9094746765
309	0.9088128053
310	0.9084364733
311	0.9077618901
312	0.9073411093
313	0.906806065
314	0.9061522628
315	0.9055682621
316	0.9050037742
317	0.9044312581
318	0.9038826393
319	0.9033063303
320	0.90280766
321	0.9023221141
322	0.9018419937
323	0.9013470791
324	0.9007684325
325	0.9002340384
326	0.89971854
327	0.8991801968
328	0.8986611845
329	0.8981265073
330	0.8976408122
331	0.8971605327
332	0.8965537577
333	0.8959382429
334	0.8953114453
335	0.8948078883
336	0.8941981841
337	0.8936667447
338	0.8929561724
339	0.8923400657
340	0.8918450566
341	0.8912094622
342	0.8906748104
343	0.8898273012
344	0.8891886658
345	0.8887082114
346	0.8880649871
347	0.8876297962
348	0.8871262169
349	0.8866158604
350	0.8861027498
351	0.8855531196
352	0.885015388
353	0.8844208525
354	0.8837677862
355	0.8833866363
356	0.8827490446
357	0.8823854012
358	0.8819897567
359	0.8814750713
360	0.8810288351
361	0.8806491314
362	0.8801899057
363	0.8796850817
364	0.8793318241
365	0.8787786265
366	0.8782757414
367	0.8776753082
368	0.8771339192
369	0.8766139551
370	0.876164062
371	0.875537829
372	0.8751004297
373	0.8746069616
374	0.8740451846
375	0.8734782765
376	0.8729655206
377	0.8724817152
378	0.8719375227
379	0.8715798621
380	0.8710966708
381	0.8706498014
382	0.8702023351
383	0.8696826887
384	0.8693257163
385	0.8687820022
386	0.8682243212
387	0.8677291076
388	0.8673434028
389	0.8668664842
390	0.8663434397
391	0.8659117523
392	0.8653819911
393	0.8648248813
394	0.8642329699
395	0.8637509468
396	0.8632197062
397	0.8627692188
398	0.862367741
399	0.8618243232
400	0.8613194956
401	0.8608998681
402	0.8604473249
403	0.8599609625
404	0.8595519757
405	0.8588534039
406	0.8584578901
407	0.8579636537
408	0.857516656
409	0.8570131735
410	0.8565389553
411	0.8559561799
412	0.8553947235
413	0.8549165053
414	0.8544290833
415	0.8539345757
416	0.8535737796
417	0.8530738225
418	0.8525363338
419	0.8519433713
420	0.8514606075
421	0.8508089465
422	0.8505230635
423	0.8500052063
424	0.8493855368
425	0.849022156
426	0.8484758801
427	0.8479574438
428	0.8473995323
429	0.8470741649
430	0.8465372197
431	0.8459916006
432	0.8455372702
433	0.8450645066
434	0.8445540977
435	0.8441771986
436	0.8434576175
437	0.8430127123
438	0.8425394967
439	0.8421220497
440	0.8415599562
441	0.8410774274
442	0.8406175601
443	0.8400867904
444	0.839446523
445	0.838830359
446	0.8383418241
447	0.8379030523
448	0.8374342049
449	0.8368795379
450	0.8363431016
451	0.8359065651
452	0.8354198557
453	0.8348506761
454	0.8345908768
455	0.834233389
456	0.8336985045
457	0.8331853972
458	0.8326057181
459	0.8320803513
460	0.8317140363
461	0.8312914979
462	0.8307724133
463	0.8302935304
464	0.8299475977
465	0.8294703888
466	0.828874189
467	0.828434836
468	0.8280153151
469	0.8275643948
470	0.8271878668
471	0.8267819875
472	0.8263376625
473	0.8258530848
474	0.8255649545
